InstitutionID,University,City,State,Latitude,Longitude,Rank,Market Saturation Percentile,AE Percentile,aCFI Percentile,Collegiate Survivability Index (CSI),Endowment,Total Assets,Net Assets,Liabilities,CSI_Quantile,Quantile_Group,Quantile_Label
217305,New England Institute of Technology,East Greenwich,RI,35.6282633,-88.80669166676904,253,0.4540337893391233,0.4880354180089394,0.5677196515743455,0.5063277969767555,289046941.425,445455147.278,370980766.355,74474380.92299998,Healthy,5,Healthy
236328,University of Puget Sound,Tacoma,WA,35.44761055,-84.5944217053022,254,0.4722913921591461,0.50161275220803,0.5415969673023842,0.5058888232052419,548364873.475,797777030.787,713613237.9,84163792.88699996,Healthy,5,Healthy
119173,Mount Saint Mary's University,Los Angeles,CA,32.429358,-99.74872217744309,255,0.5621227096176309,0.4163593422827567,0.4930785101357629,0.505353123854746,193391510.075,412015903.215,347378232.261,64637670.954,Healthy,5,Healthy
169716,University of Detroit Mercy,Detroit,MI,32.678816600000005,-96.75367781374204,256,0.5130986773154749,0.5571250685527804,0.46862384434337,0.5041007247683759,123514928.294,343194567.752,262067589.677,81126978.07499999,Healthy,5,Healthy
132471,Barry University,Miami,FL,32.841801149999995,-96.78152810147064,257,0.5677417919786433,0.4949688433281984,0.4449571265024919,0.5040560564198635,62886041.716,225928195.256,147187625.573,78740569.683,Healthy,5,Healthy
168254,Western New England University,Springfield,MA,30.6371513,-97.66274097607484,258,0.5394557112947613,0.5444240254585115,0.4483139364605374,0.5039739390074386,77043321.444,262854477.511,159955338.08,102899139.431,Healthy,5,Healthy
168528,Adrian College,Adrian,MI,32.3746078,-95.31245324946968,259,0.4864879684484557,0.6317825815273264,0.4564286852791623,0.5035026364785707,66246897.227,187160696.54,124351777.239,62808919.301,Healthy,5,Healthy
461795,North American University,Stafford,TX,32.73306755,-97.28013399216506,260,0.4728795784352599,0.7101746368515556,0.4305091120782112,0.5033581999765866,0.0,14376743.88,10900848.826,3475895.0540000014,Healthy,5,Healthy
198215,Catawba College,Salisbury,NC,36.93142245,-80.02813058907365,261,0.3986792590637066,0.4967534238177402,0.6100455661625346,0.5028730806989888,570661751.383,928381516.203,738265489.817,190116026.38599992,Healthy,5,Healthy
209922,Reed College,Portland,OR,37.762510500000005,-77.47954212782594,262,0.4361015297424478,0.4900888763402966,0.5737881104359015,0.5019957699208779,889774231.258,1281095455.789,1027515868.041,253579587.74800003,Healthy,5,Healthy
151290,Indiana Institute of Technology,Fort Wayne,IN,39.16630535,-78.15876380974831,263,0.4831444944367327,0.5534642088963009,0.4948640450552666,0.5018915695147377,201715108.596,398553291.698,320167221.816,78386069.88200003,Healthy,5,Healthy
151263,University of Indianapolis,Indianapolis,IN,36.86802,-76.1877440355182,264,0.5888771405182673,0.4354450577438354,0.447920805582589,0.5017953419304,147068704.194,294152372.652,199257497.601,94894875.051,Healthy,5,Healthy
151801,Indiana Wesleyan University-Marion,Marion,IN,47.261437,-122.48095732177066,265,0.5458407037080679,0.3912402023705826,0.5117596035797374,0.5012968072193468,330023953.784,617239659.132,574739197.167,42500461.96499992,Healthy,5,Healthy
178059,Maryville University of Saint Louis,Saint Louis,MO,47.64886755,-122.36196642187448,266,0.5475184185893047,0.5069639076936313,0.4521422600749653,0.501242033223821,81578590.274,345748905.211,189878036.995,155870868.21600002,Healthy,5,Healthy
233541,Shenandoah University,Winchester,VA,38.99047564999999,-80.21826091194856,267,0.5341972722157463,0.5174545416542213,0.4600310671630807,0.5011690851144207,91468760.278,337035630.902,198877310.5,138158320.402,Healthy,5,Healthy
